;meta[language=zh]
;    id    |key(hex)|                  key(str)                   |        text
;*
;*   Translated By: chang921219
;*                                                _  _ ____ _ _  _    _  _ ____ _  _ _  _
;*                                                |\/| |__| | |\ |    |\/| |___ |\ | |  |
;*                                                |  | |  | | | \|    |  | |___ | \| |__|
;*                                                =======================================
;*
;----id----|key(hex)|----------------- key(str) ------------------|-------- text ---------------------------------------------
 2111509000|        |                 panel_Mods                  |模組
 2111509001|        |             panel_gmConfig_Menu             |上帝模式菜單
 2111509002|        |        preset_value_gmConfig_Default        |默認
 2111509003|        |        option_gmConfig_resetSettings        |重置所有設置
 2111509004|        |             gmConfig_resetting              |上帝模式菜單<br>-------------<br>恢復設置為默認
 2111509005|        |             gmConfig_unlimited              |上帝模式菜單<br>-------------<br>你現在有 <font color='#ff0000'>無限</font> 箭矢, 炸彈, 染色, 附魔, 錢幣, 劍油充能, 藥劑, 和藥劑持續時間.
;2111509006|        |                                             |
;2111509007|        |                                             |
;2111509008|        |                                             |
;2111509009|        |                                             |
 2111509010|        |         option_gmConfig_IgnoreThis          |Ignore this setting.  It is here just to show the message in the menu. ;NOTE: That needs to be translated too.
 2111509011|        |            panel_gmConfig_Notice            |請在改變設置之前開始/讀取遊戲
 2111509012|        |               gmConfig_Notice               |請在改變設置之前開始/讀取遊戲
 2111509013|        |            panel_gmConfig_Blank             |<br>
 2111509014|        |               gmConfig_Blank                |<br>
;2111509015|________|_____________________________________________|___________________________________________________________
;2111509016|                                   ____ ___ ____ ___ ____    _  _ ____ _  _ _  _
;2111509017|                                   [__   |  |__|  |  [__     |\/| |___ |\ | |  |
;2111509018|                                   ___]  |  |  |  |  ___]    |  | |___ | \| |__|
;2111509019|                                   =============================================
;2111509020|
;----id----|key(hex)|----------------- key(str) ------------------|-------- text ---------------------------------------------
 2111509022|        |            panel_gmConfig_Stats             |角色狀態
 2111509023|        |  preset_Mods_gmConfig_Menu_gmConfig_Stats   |角色狀態預設
